27
100
X1,8,356
X2,17,367
X3,12,309
X4,20,338
X5,15,392
X6,8,339
X7,8,338
X8,15,390
X9,16,317
X10,15,343
X11,12,392
X12,18,369
X13,18,359
X14,12,390
X15,16,367
X16,16,313
X17,15,325
X18,7,351
X19,17,372
X20,16,321
X21,14,302
X22,12,359
X23,9,359
X24,13,350
X25,12,371
X26,16,330
X27,11,304
X28,17,367
X29,9,345
X30,12,346
X31,13,368
X32,14,365
X33,19,346
X34,15,351
X35,17,384
X36,17,363
X37,17,368
X38,19,391
X39,20,348
X40,14,367
X41,13,343
X42,18,307
X43,19,305
X44,14,378
X45,19,316
X46,14,323
X47,17,340
X48,17,394
X49,9,328
X50,17,342
X51,14,383
X52,8,364
X53,9,372
X54,18,302
X55,14,380
X56,13,352
X57,11,303
X58,9,384
X59,17,334
X60,10,357
X61,19,345
X62,17,348
X63,9,316
X64,8,323
X65,11,312
X66,10,321
X67,7,374
X68,12,351
X69,16,308
X70,11,321
X71,10,329
X72,19,379
X73,7,381
X74,10,301
X75,10,327
X76,7,356
X77,13,378
X78,18,387
X79,13,354
X80,10,351
X81,17,382
X82,19,371
X83,14,382
X84,14,347
X85,15,375
X86,13,314
X87,8,338
X88,13,319
X89,19,349
X90,20,329
X91,10,341
X92,8,324
X93,10,390
X94,7,365
X95,18,365
X96,20,377
X97,8,399
X98,8,315
X99,14,330
X100,17,352
