1000000
11000
X1,233,309
X2,685,209
X3,875,261
X4,848,148
X5,402,188
X6,240,62
X7,170,98
X8,664,108
X9,620,112
X10,515,376
X11,626,175
X12,940,120
X13,472,31
X14,522,165
X15,118,247
X16,703,356
X17,335,96
X18,173,397
X19,370,204
X20,258,321
X21,138,55
X22,217,316
X23,983,318
X24,369,196
X25,828,50
X26,944,277
X27,730,292
X28,343,170
X29,388,385
X30,483,48
X31,522,307
X32,706,143
X33,463,195
X34,749,265
X35,425,182
X36,776,254
X37,526,46
X38,985,334
X39,197,124
X40,388,192
X41,324,105
X42,802,20
X43,986,363
X44,110,103
X45,257,62
X46,979,255
X47,449,366
X48,274,169
X49,238,261
X50,725,310
X51,198,257
X52,163,242
X53,162,148
X54,60,178
X55,548,205
X56,916,253
X57,635,28
X58,583,77
X59,970,367
X60,404,313
X61,571,177
X62,129,313
X63,52,112
X64,75,317
X65,617,247
X66,420,371
X67,732,35
X68,836,128
X69,155,276
X70,643,392
X71,827,126
X72,972,384
X73,670,110
X74,968,344
X75,422,311
X76,526,34
X77,405,208
X78,159,135
X79,257,386
X80,822,338
X81,595,354
X82,975,347
X83,88,247
X84,577,238
X85,580,109
X86,995,133
X87,778,74
X88,734,201
X89,570,182
X90,594,302
X91,466,398
X92,77,289
X93,301,338
X94,211,388
X95,748,313
X96,871,355
X97,20,286
X98,134,194
X99,924,311
X100,924,363
X101,433,148
X102,561,335
X103,756,42
X104,531,318
X105,401,380
X106,294,45
X107,278,190
X108,206,257
X109,72,159
X110,741,187
X111,694,42
X112,773,301
X113,972,196
X114,272,360
X115,718,299
X116,825,64
X117,16,268
X118,39,245
X119,447,291
X120,254,226
X121,353,278
X122,567,190
X123,736,96
X124,629,195
X125,778,196
X126,922,333
X127,408,193
X128,655,258
X129,364,166
X130,374,103
X131,929,264
X132,788,65
X133,894,32
X134,924,377
X135,313,113
X136,702,48
X137,485,398
X138,869,162
X139,122,328
X140,980,218
X141,250,333
X142,542,75
X143,194,202
X144,675,383
X145,986,215
X146,469,96
X147,70,124
X148,114,347
X149,73,331
X150,25,281
X151,170,27
X152,639,370
X153,402,362
X154,429,38
X155,631,78
X156,908,241
X157,457,316
X158,449,308
X159,709,127
X160,457,130
X161,846,349
X162,581,323
X163,735,99
X164,733,361
X165,545,286
X166,975,180
X167,53,44
X168,161,222
X169,745,66
X170,25,50
X171,131,172
X172,813,229
X173,450,151
X174,723,17
X175,424,323
X176,579,339
X177,711,223
X178,250,18
X179,757,372
X180,659,147
X181,871,134
X182,661,391
X183,739,279
X184,345,272
X185,252,281
X186,911,255
X187,402,216
X188,44,193
X189,375,372
X190,102,252
X191,438,137
X192,362,372
X193,252,300
X194,243,346
X195,166,142
X196,699,32
X197,320,170
X198,403,49
X199,307,372
X200,584,377
X201,161,241
X202,116,174
X203,683,73
X204,626,283
X205,827,148
X206,829,385
X207,818,201
X208,715,117
X209,788,146
X210,552,32
X211,163,358
X212,492,170
X213,217,196
X214,978,202
X215,974,361
X216,625,43
X217,48,198
X218,269,390
X219,701,304
X220,325,190
X221,190,160
X222,538,226
X223,434,137
X224,658,120
X225,499,254
X226,812,142
X227,598,19
X228,860,331
X229,536,265
